method,items_number,index,binsize,time,success,runtime
solve_cpp_backtracking,60,0,1000,0.12936230700051965,True,0.23763003099975322
solve_cpp_backtracking,60,1,1000,0.0011556099998415448,True,0.0013196789996072766
solve_cpp_backtracking,60,2,1000,0.0007732229996690876,True,0.0011296339998807525
solve_cpp_backtracking,60,3,1000,0.0005910519994358765,True,0.0007300489996850956
solve_cpp_backtracking,60,4,1000,0.0006838849994892371,True,0.0008276839998870855
solve_cpp_backtracking,60,5,1000,0.0010554320006121998,True,0.001193562000480597
solve_cpp_backtracking,60,6,1000,0.0018867329999920912,True,0.0020817290005652467
solve_cpp_backtracking,60,7,1000,0.0018258700001752004,True,0.0019734380002773833
solve_cpp_backtracking,60,8,1000,0.0009181599998555612,True,0.001275225999961549
solve_cpp_backtracking,60,9,1000,0.0009724999999889405,True,0.0011284090005574399
solve_cpp_backtracking,60,10,1000,0.0008407389996136772,True,0.0009740099994814955
solve_cpp_backtracking,60,11,1000,0.0006547160000991425,True,0.0008053720002862974
solve_cpp_backtracking,60,12,1000,0.003752534999875934,True,0.004128042999582249
solve_cpp_backtracking,60,13,1000,0.0009714899997561588,True,0.0011440839998613228
solve_cpp_backtracking,60,14,1000,0.0020978310003556544,True,0.002255628000057186
solve_cpp_backtracking,60,15,1000,0.0013267069998619263,True,0.0014873840000291239
solve_cpp_backtracking,60,16,1000,0.000527764000253228,True,0.0006690210002489039
solve_cpp_backtracking,60,17,1000,0.0005457329998534988,True,0.0006727809995936695
solve_cpp_backtracking,60,18,1000,0.003519413000503846,True,0.003698787000757875
solve_cpp_backtracking,60,19,1000,0.0009761440005604527,True,0.0011339460006638546
solve_cpp_backtracking,120,0,1000,0.003553274000296369,True,0.003726947999894037
solve_cpp_backtracking,120,1,1000,0.004691230999924301,True,0.00508761100081756
solve_cpp_backtracking,120,2,1000,0.004717369999525545,True,0.005067248000159452
solve_cpp_backtracking,120,3,1000,0.0024193850003939588,True,0.0025964489996113116
solve_cpp_backtracking,120,4,1000,0.004808521999621007,True,0.0051060229998256546
solve_cpp_backtracking,120,5,1000,0.0026651220005078358,True,0.003405890000067302
solve_cpp_backtracking,120,6,1000,0.007336175999625993,True,0.0075362769994171686
solve_cpp_backtracking,120,7,1000,0.005745841000134533,True,0.005945652999798767
solve_cpp_backtracking,120,8,1000,0.0053633269999409094,True,0.0055665180007054005
solve_cpp_backtracking,120,9,1000,0.004470164999474946,True,0.004771975000039674
solve_cpp_backtracking,120,10,1000,0.006470442000136245,True,0.006748339999830932
solve_cpp_backtracking,120,11,1000,0.004772888999468705,True,0.00502905500070483
solve_cpp_backtracking,120,12,1000,0.002965971000776335,True,0.00315782699999545
solve_cpp_backtracking,120,13,1000,0.005104869999740913,True,0.005294112999763456
solve_cpp_backtracking,120,14,1000,0.006107567000071867,True,0.006312514999990526
solve_cpp_backtracking,120,15,1000,0.003809347000242269,True,0.006745937999767193
solve_cpp_backtracking,120,16,1000,0.0022728619996996713,True,0.00245263899978454
solve_cpp_backtracking,120,17,1000,0.0058497650006756885,True,0.006035354999767151
solve_cpp_backtracking,120,18,1000,0.005216501000177232,True,0.005438971999865316
solve_cpp_backtracking,120,19,1000,0.0063243490003515035,True,0.006558093999956327
solve_cpp_backtracking,249,0,1000,0.014452782000262232,True,0.01847733500017057
solve_cpp_backtracking,249,1,1000,0.020745730999806256,True,0.02127461000054609
solve_cpp_backtracking,249,2,1000,0.04029167000044254,True,0.04053857300004893
solve_cpp_backtracking,249,3,1000,0.011077361999923596,True,0.011303706000035163
solve_cpp_backtracking,249,4,1000,0.00974846500048443,True,0.01007994400060852
solve_cpp_backtracking,249,5,1000,0.01763038199987932,True,0.01789229800033354
solve_cpp_backtracking,249,6,1000,0.014952272999835259,True,0.015188224999292288
solve_cpp_backtracking,249,7,1000,0.01722329600033845,True,0.017501006000202324
solve_cpp_backtracking,249,8,1000,0.02016090899996925,True,0.020392209999954503
solve_cpp_backtracking,249,9,1000,0.019432037999649765,True,0.019657423000353447
solve_cpp_backtracking,249,10,1000,0.011460570999588526,True,0.012473239000428293
solve_cpp_backtracking,249,11,1000,0.020640935999836074,True,0.020867320999968797
solve_cpp_backtracking,249,12,1000,0.011880304000442266,True,0.012096974000087357
solve_cpp_backtracking,249,13,1000,0.020319899000242003,True,0.020569176999742922
solve_cpp_backtracking,249,14,1000,0.019454741000117792,True,0.019779752000431472
solve_cpp_backtracking,249,15,1000,0.02011723399937182,True,0.025696572000015294
solve_cpp_backtracking,249,16,1000,0.011547871999937342,True,0.011913680999896314
solve_cpp_backtracking,249,17,1000,0.01351208000050974,True,0.013735000999986369
solve_cpp_backtracking,249,18,1000,0.017571053999745345,True,0.01782251699933113
solve_cpp_backtracking,249,19,1000,0.027999093000289577,True,0.02981330500006152
solve_cpp_backtracking,501,0,1000,9.992358358999809,True,9.995120433000011
solve_cpp_backtracking,501,1,1000,0.03651309599990782,True,0.036818742999457754
solve_cpp_backtracking,501,2,1000,0.03933553299975756,True,0.03975129700029356
solve_cpp_backtracking,501,3,1000,0.04408618999968894,True,0.04437499300001946
solve_cpp_backtracking,501,4,1000,0.0404185140005211,True,0.04074102899994614
