N,i,elapsed,prep,T,G,A:fix,A:N,A:K,A:options,A:first,Bt:Step,Bt:Branch,Bt:Back,Bt: Loops,C:Passes,C:Dist,C:Nodes,C:Saved,C:Skip1,C:Skip2,OK,Error,Solution,WinningBranches,WinningBranchesLong,Histogram:depth,Histogram:stepsizes
60,0,1.7967113000049721,2,0,0,14,9,4,91,10,887,3,11,6,0,0,0,0,0,0,True,,"{495, 254,251}{474, 274,252}{473, 272,255}{472, 269,259}{466, 272,262}{450, 298,252}{445, 303,252}{444, 283,273}{439, 292,269}{430, 307,263}{419, 320,261}{414, 298,288}{410, 315,275}{395, 347,258}{372, 357,271}{370, 355,275}{366, 366,268}{366, 361,273}{363, 350,287}{351, 350,299}",010,"0(x, 2/3|1)1(x, 2/3|1)0(x, 2/3|1)", [12: 1] [13: 1] [10: 2] [9: 1] [0: 1], [36: 1] [46: 1] [12: 1] [3: 1] [30: 1] [32: 1]
60,1,1.5967950000049314,0,0,0,19,4,1,4,1,810,15,10,26,0,0,0,0,0,0,True,,"{475, 264,261}{473, 265,262}{468, 277,255}{465, 275,260}{462, 280,258}{447, 302,251}{444, 289,267}{426, 314,260}{423, 308,269}{412, 334,254}{411, 333,256}{409, 339,252}{403, 340,257}{402, 347,251}{399, 319,282}{396, 307,297}{396, 304,300}{382, 313,305}{376, 366,258}{369, 361,270}",1011011,"1(x, 1/2|1)0(x, 1/2|1)1(A, 1/2|1)1(x, 2/3|1)0(x, 1/2|1)1(A, 1/2|1)1(A, 1/2|1)", [19: 2] [18: 2] [17: 4] [16: 5] [15: 4] [14: 3] [13: 2] [12: 2] [11: 1] [0: 1], [7: 2] [12: 1] [8: 2] [6: 4] [70: 1] [9: 1] [61: 2] [78: 1] [11: 1] [16: 1] [57: 2] [58: 1] [75: 1] [4: 1] [18: 1] [50: 1] [49: 2] [21: 1]
